All_Poverty,M_Poverty,F_Poverty,FIPS,Med_Income,Med_Income_White,Med_Income_Black,Med_Income_Nat_Am,Med_Income_Asian,Hispanic,M_With,M_Without,F_With,F_Without,All_With,All_Without,fips_x,Incidence_Rate,Avg_Ann_Incidence,fips_y,Mortality_Rate,Avg_Ann_Deaths
5960,2805,3155,1093,32299.0,32698.0,27727.0,70972.0,36010.0,35757.0,12619,1902,13590,1618,26209,3520,1093,74.2,33.0,1093,51.7,23.0
18794,8426,10368,1095,38983.0,39540.0,25688.0,,93125.0,24069.0,37272,8805,40331,7023,77603,15828,1095,79.4,90.0,1095,66.6,75.0
77917,31927,45990,1097,43809.0,53398.0,28066.0,42353.0,48063.0,40875.0,163094,28997,185337,28790,348431,57787,1097,75.4,347.0,1097,63.3,289.0
6901,2912,3989,1099,27257.0,37849.0,17029.0,50536.0,,14554.0,8832,1717,9448,2005,18280,3722,1099,62.3,19.0,1099,52.9,16.0
49918,21699,28219,1101,44369.0,61342.0,34180.0,61684.0,72083.0,39923.0,88803,15281,105296,13407,194099,28688,1101,61.0,144.0,1101,49.9,117.0
18936,7640,11296,1103,45751.0,48739.0,25944.0,101364.0,62917.0,34331.0,48705,9071,51963,8345,100668,17416,1103,80.4,116.0,1103,60.5,88.0
3373,1510,1863,1105,24537.0,43906.0,19336.0,,,,3926,666,4539,757,8465,1423,1105,83.1,11.0,1105,60.3,8.0
4801,2116,2685,1107,30330.0,41392.0,18722.0,,,36833.0,8174,1403,8582,1095,16756,2498,1107,65.6,18.0,1107,57.5,16.0
8158,3810,4348,1109,32825.0,44427.0,21852.0,47188.0,,30375.0,13996,1760,15437,1754,29433,3514,1109,61.8,22.0,1109,47.2,16.0
4511,2048,2463,1111,36924.0,40027.0,28219.0,,,,9324,1666,9877,1545,19201,3211,1111,75.5,24.0,1111,58.5,18.0
12054,4782,7272,1113,37049.0,44182.0,30005.0,21734.0,,67639.0,22282,4430,24884,4777,47166,9207,1113,78.7,47.0,1113,64.0,38.0
13417,6115,7302,1115,51859.0,53010.0,42069.0,,107875.0,48042.0,36930,4549,38204,4318,75134,8867,1115,74.7,72.0,1115,65.0,61.0
16693,7492,9201,1117,70187.0,72574.0,58780.0,61964.0,81713.0,40143.0,88004,9927,95944,7945,183948,17872,1117,57.1,108.0,1117,47.3,88.0
5372,2187,3185,1119,19501.0,48636.0,15730.0,,70000.0,,4522,1343,6152,1187,10674,2530,1119,55.5,9.0,1119,51.0,9.0
17950,7613,10337,1121,35155.0,40996.0,24692.0,28681.0,129936.0,33661.0,32170,5151,36501,4860,68671,10011,1121,74.0,74.0,1121,61.0,61.0
9117,3646,5471,1123,39206.0,47741.0,23739.0,11216.0,,27911.0,16879,2385,18924,2428,35803,4813,1123,70.5,41.0,1123,54.5,32.0
36274,15124,21150,1125,46565.0,55568.0,31879.0,37361.0,42649.0,39005.0,85157,10782,93413,9656,178570,20438,1125,72.3,135.0,1125,54.4,100.0
14598,6480,8118,1127,35843.0,36618.0,24898.0,,,30725.0,26799,4750,29620,4050,56419,8800,1127,98.3,89.0,1127,79.8,71.0
3200,1367,1833,1129,42811.0,44052.0,32361.0,53409.0,,39583.0,7140,1263,7114,1352,14254,2615,1129,74.8,16.0,1129,65.3,14.0
4126,1910,2216,1131,23750.0,43516.0,18154.0,,,,4326,879,4850,921,9176,1800,1131,73.2,11.0,1131,61.7,9.0
5157,2035,3122,1133,33194.0,33770.0,,22857.0,,28205.0,10251,1462,10390,1726,20641,3188,1133,90.8,31.0,1133,69.9,24.0
3705,1514,2191,5001,36411.0,42928.0,26242.0,,,27125.0,7568,1273,8583,1068,16151,2341,5001,85.9,21.0,5001,67.8,17.0
4352,1961,2391,5003,34263.0,41506.0,18810.0,,,31333.0,8544,1538,9494,1478,18038,3016,5003,77.0,23.0,5003,58.6,17.0
6452,3062,3390,5005,35396.0,35458.0,,,,61667.0,17259,2372,18915,2026,36174,4398,5005,85.6,71.0,5005,64.3,54.0
28804,13213,15591,5007,56239.0,55511.0,56509.0,44457.0,81290.0,43154.0,100609,16255,105249,14411,205858,30666,5007,56.4,129.0,5007,47.0,106.0
6465,2751,3714,5009,39251.0,39736.0,,10170.0,69297.0,50404.0,15299,2602,16771,2130,32070,4732,5009,67.7,35.0,5009,62.6,33.0
3218,1350,1868,5011,33701.0,42250.0,22500.0,,,26536.0,4534,989,4797,793,9331,1782,5011,86.3,13.0,5011,68.3,11.0
907,409,498,5013,36899.0,43032.0,27891.0,,,34750.0,2227,411,2228,320,4455,731,5013,82.5,6.0,5013,70.2,5.0
5001,2173,2828,5015,36897.0,37029.0,,,,35075.0,11137,2296,11452,2537,22589,4833,5015,59.1,25.0,5015,47.7,20.0
3385,1350,2035,5017,28913.0,43224.0,20722.0,,,,4159,829,4935,763,9094,1592,5017,76.4,12.0,5017,70.2,12.0
4716,1872,2844,5019,35031.0,39805.0,22136.0,,45938.0,35278.0,9169,1412,10481,1349,19650,2761,5019,71.6,19.0,5019,53.3,15.0
3324,1472,1852,5021,32552.0,32251.0,,67143.0,,34779.0,6214,1308,6654,1090,12868,2398,5021,108.7,26.0,5021,80.1,20.0
3676,1696,1980,5023,42905.0,43417.0,,57794.0,,21563.0,10744,1960,10629,2018,21373,3978,5023,83.6,38.0,5023,70.5,32.0
1751,785,966,5025,43158.0,46296.0,21000.0,,,,3802,415,3698,517,7500,932,5025,77.5,9.0,5025,67.0,7.0
5823,2540,3283,5027,36619.0,50998.0,20254.0,11518.0,,21835.0,9961,1427,10874,1642,20835,3069,5027,72.0,21.0,5027,62.6,19.0
4709,2344,2365,5029,37732.0,39860.0,30598.0,31875.0,,20431.0,8987,1322,9349,1275,18336,2597,5029,75.0,21.0,5029,55.1,16.0
19715,8920,10795,5031,42475.0,45806.0,23202.0,25074.0,58452.0,27139.0,40807,8090,44480,7051,85287,15141,5031,74.6,74.0,5031,49.2,48.0
11304,5456,5848,5033,41268.0,41283.0,26806.0,56176.0,40417.0,28695.0,25253,4761,27005,4175,52258,8936,5033,79.1,56.0,5033,61.8,43.0
11802,4745,7057,5035,38004.0,56377.0,25553.0,,62016.0,29967.0,19835,3330,22367,3672,42202,7002,5035,75.6,37.0,5035,72.2,36.0
